_id,Quran,aya,api,url,hadith_ids
23b4ffb2a35c8927697f086e0bca4782,Quran 4:163,إنا أوحينا إليك كما أوحينا إلى نوح والنبيين من بعده,nindex.php?page=tafseer&surano=4&ayano=163,https://www.islamweb.net/ar/library/maktaba/nindex.php?page=tafseer&surano=4&ayano=163,['bukhari-00001']
9a4940698dc3adb92b05d1b449589a1c,Quran 96:1,اقرأ باسم ربك الذي خلق خلق الإنسان من علق اقرأ وربك الأكرم,nindex.php?page=tafseer&surano=96&ayano=1,https://www.islamweb.net/ar/library/maktaba/nindex.php?page=tafseer&surano=96&ayano=1,"['bukhari-00004', 'bukhari-04672']"
3bd1c5bd495b38d8049a12ba2b4003f8,Quran 75:16,لا تحرك به لسانك لتعجل به,nindex.php?page=tafseer&surano=75&ayano=16,https://www.islamweb.net/ar/library/maktaba/nindex.php?page=tafseer&surano=75&ayano=16,"['bukhari-04643', 'bukhari-04645', 'bukhari-04757', 'bukhari-00005']"
580a440cf726fa0ba522e1ea17260d81,Quran 75:16,لا تحرك به لسانك لتعجل به إن علينا جمعه وقرآنه,nindex.php?page=tafseer&surano=75&ayano=16,https://www.islamweb.net/ar/library/maktaba/nindex.php?page=tafseer&surano=75&ayano=16,"['bukhari-04645', 'bukhari-07086', 'bukhari-00005']"
52d2bc30e7f2aea3fd86981e29064748,Quran 75:18,فإذا قرأناه فاتبع قرآنه,nindex.php?page=tafseer&surano=75&ayano=18,https://www.islamweb.net/ar/library/maktaba/nindex.php?page=tafseer&surano=75&ayano=18,"['bukhari-04645', 'bukhari-07086', 'bukhari-00005']"
76a16afed571745698be62224df11d00,Quran 75:19,ثم إن علينا بيانه,nindex.php?page=tafseer&surano=75&ayano=19,https://www.islamweb.net/ar/library/maktaba/nindex.php?page=tafseer&surano=75&ayano=19,"['bukhari-04757', 'bukhari-04645', 'bukhari-00005']"
d6da26dc9773cead3c5f4271e1821333,Quran 3:64,يا أهل الكتاب تعالوا إلى كلمة سواء بيننا وبينكم أن لا نعبد إلا الله ولا نشرك به شيئا ولا يتخذ بعضنا بعضا أربابا من دون الله فإن تولوا فقولوا اشهدوا بأنا مسلمون,nindex.php?page=tafseer&surano=3&ayano=64,https://www.islamweb.net/ar/library/maktaba/nindex.php?page=tafseer&surano=3&ayano=64,['bukhari-00007']
879d5dc430372e75871cbb886f9597fd,Quran 48:4,ليزدادوا إيمانا مع إيمانهم,nindex.php?page=tafseer&surano=48&ayano=4,https://www.islamweb.net/ar/library/maktaba/nindex.php?page=tafseer&surano=48&ayano=4,['bukhari-00008']
81a967bff9bc8701263210eb3e159db3,Quran 18:13,وزدناهم هدى,nindex.php?page=tafseer&surano=18&ayano=13,https://www.islamweb.net/ar/library/maktaba/nindex.php?page=tafseer&surano=18&ayano=13,"['bukhari-00008', 'bukhari-00044']"
56fd1e1e311c833657e14af5808f0dc7,Quran 19:76,ويزيد الله الذين اهتدوا هدى,nindex.php?page=tafseer&surano=19&ayano=76,https://www.islamweb.net/ar/library/maktaba/nindex.php?page=tafseer&surano=19&ayano=76,['bukhari-00008']
afb94e21ace3ee5048c70474dd39c807,Quran 47:17,والذين اهتدوا زادهم هدى وآتاهم تقواهم,nindex.php?page=tafseer&surano=47&ayano=17,https://www.islamweb.net/ar/library/maktaba/nindex.php?page=tafseer&surano=47&ayano=17,"['bukhari-04273', 'bukhari-00008']"
